u_puuid,v_puuid,games,wins,first_ts,last_ts,winrate
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,ZAB8mGmgV7Rfh0UDJ6EgrcUM7NAb7_aJf8GVvBR8nSsczXNUseyhnDowZLqq1vX09LMSuD3dor4o2g,1,0,1770606890948,1770606890948,0.0
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,hQ7qP8aWbMkF2chjFsBD_XIrhBj0bO4xTGSqQveh8LonebJ3jEr34YLGNeEcJ0ocoKNFaTQ7WcbTEg,2,1,1770606890948,1770608779833,0.5
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,mPJ2YDyqLolNQCqOA7Gvax_LM8SENQ6e7UdtyT8MAW8wRtCvW_EA17EKi1tJz3xLa9y2NXf9ve16jQ,1,1,1770608779833,1770608779833,1.0
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,mlUhKM3Ih4npFGwPRtOwWnd4bvSSjbd3_1M-DWp-wKZIIrSIkml_rU_PTG-Cqr9pUjDP1S_8bDiBtw,1,0,1770606890948,1770606890948,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,05TvXoPjrsmpbY20_nTPzpSQZokEapYPedPcNa_2OzRGPWZKj0FsSTnje16QgyL8DJ78KTMoLh7S6Q,1,0,1770512736033,1770512736033,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,0tIpaCjcZAIAtbS3N2Zzf0pu9S4lUt5uoNNtiVOoHO9neG6UrsfFLUs-v_x77YsD5flMRy45ptkVXQ,1,1,1770596529104,1770596529104,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,1JDEMSrkeqcTMJjg_aaoFxjG7XAVf-wh_RUXI0ojeb8hV1jkwQisRJRJE9M9XntZ_3hrnF4KvTODFw,1,0,1770512736033,1770512736033,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,27ACvXppwGunVoqqmFesnTrfnD2Trv4r6XZAYPpRVpWhr-xT6JXyKoBelqxsBjR9KSPO4aQYOpdKqw,1,1,1770596529104,1770596529104,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,3gmahzz0oBCK3EuswmQckTuaSNCWDs3fgZugFZizkN661tYDGubxfhmQrlh2bHWIBHG4FLCtJRUvIA,1,1,1770589396899,1770589396899,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,3ygP754BUOido5M8FFhWaaUT4g607F4Ct-q5PbHwdV8FbJlLHc9OHbc-QprptdHaHjYGcqUr3IbRNQ,1,0,1770607733383,1770607733383,0.0
