puuid,games,wins,winrate
-q1OWlzaYIZal-4IG-Hk3CI15Ui8xbPcB8P8vuxyKirExZ2d6qOqdn1vI_wKS1BNYZr6BaWG5WivOQ,2,2,1.0
-rUGJiXzMVEODHypksgijqtYeWg0L2O4aMS5u7fVgTwR3iF6RAXQh0z3VyzDd2YLeMJeVvNigH1yug,1,1,1.0
-sVc04IiIbhyW4LB_z3VsD9HnZRbyBy29gPGgDo0Pob81QVaHQpN1m-hw_QqSPpNsLEN2n_gUr654A,1,1,1.0
-tY-fb__sdIAf799HOrkus7zvosm76V929dYA3dqnBsZdjQ6aA4ahGeRYZmsCVKhk5R7pLczM8WkXg,1,0,0.0
-vR29e2Q-Jr4JdQW2DQxbn55E5sxWh01XOH5HoeelCfXyBWkyywIBkDR7bRFC6IPXITaJ3-eN1XrcA,1,0,0.0
-vpLmcvmeRYoXN8AbZo2he495PXJD-ETmkckh4WQt1FYNMW4U_gq79_4umgYK4j1RZWq5QudNzidvw,1,0,0.0
-wBqzts0zrZug9XYk5HaBOtsJuyyLhk9xhO7_A8WFsD_EU1Ct03j3v1eJiwgPdKNlR-lwm-5DsOQYw,1,1,1.0
-wGhopSCHqONBwZtifZotXfIbo8rlzAptLhx2PDO-zGPD7AE8veB0OE-sewYW1Ow9rNAWGwissvFZw,1,0,0.0
-wvfH2x7p9dNsXm5I2NJpIY-k6BTNqjPvLZCKD_k-MkgPr3fp-_YPoroqGE8RKwHvgsApYVKz7iecA,1,1,1.0
-xRcp2JkoNt-2NZ6vGHc-BFoqBspdeqOEBUgdna7ItBw-xg6ypm47bIe9cuUnajqaWs8YQS2-KKZzA,1,1,1.0
-y8KUAYXPsHgIPjvcCOT23_GAhFE3VrmVh98bODXzf6qxZ8CLK88capRoWRjr9zegtioflrAQ_CvTw,1,1,1.0
-zSkbGgwaXbtT23Ehs6KdVyRNSctWUx6ilY4M0sjFe62fPpEMqCDl_t4yRrJwXsiPiIXY_O1B-t55w,1,1,1.0
-zzr4wiZNDsjZ7nOzCLJUW0Ysq_LF3ojDRxHms6WtILHX84wnm49s3ej97mrkaeeZdFpAD8j5PYwtQ,1,1,1.0
0-BJy1IKNtcaHIiluRjM2cZn5zsPu6EhnA03HPJknfAOuLr1rXWGDoIrRbXrryEFkOqanp2spnkzVQ,1,1,1.0
0-Upivl7yGvULGYQQTyr4U98fr7xvyuG9w1qpJMW4VSAX1vkJMSue5u9X2MxfvLTB2oN7iZcWFS0-w,1,0,0.0
00JeF6_ZShE80BEGaHGqYtZBtVFXx_kQIy5HxWq-N1p_ymQTiKIfiYMjk04sw4FtnVoXRfkS-KO2vQ,1,0,0.0
00bKDT3pUuPURQdejHwysEXUZFu6PXQX_PzuNoQWn_h2jfuA2IM-86vvc1wPQuyM6SklT76Jj7VKWg,1,0,0.0
03ffpUVKErIgeoLWlpqj3qE40TTINTQjl1Nwu4CEs8joF_kKKHRopGKRSqPsCquZ8h2HBPS0sdb_dQ,1,0,0.0
03xCpV5H_-dQJ_gCavxOamNi-3SCW-jpbCde33eO14_iKbT37zKGoraHJZ_8UWgp4S7tq5efTETjyw,1,0,0.0
045EEvkvj-1MBvd6umm7viMRU5pH4kimV9dNcHZjO5xatkDoqLQcUZqG9N7zeIf5QCpTd7tadbSokg,1,0,0.0
05JdDtqKtrbaaRVpG6FdxteFTLrngfdJZBSJb6Jelq1sxITMaFZ94htOjDyGTwOaMMBMvJ2c7YDaPg,1,0,0.0
05TvXoPjrsmpbY20_nTPzpSQZokEapYPedPcNa_2OzRGPWZKj0FsSTnje16QgyL8DJ78KTMoLh7S6Q,2,0,0.0
05abuROgV1bcObTziulBya1gHne-_649RXaoyvmbRQSKvAPOZxVPepD49DRrBlTz_6gTGW_JKRMrNA,1,1,1.0
06LuBo1jAMq2t7BROJd-GLC24WkkRh_wO_GCbXFUME7a16eoAnkro-F0fFA1AmhOK3p1ZhNrd_uLxQ,1,0,0.0
06rEj44USTZJ1Q3TIhVVlXNp8SocZRE9B1S2abfIt6zmqwiO_O4_MCTXJPmNoCrUE4ZPxfEyVWmWPw,1,0,0.0
071o3tP0oWW3CjeBBDucAC9YdcmqshPP-yzciCjLXD7MvquQgIRPh78z8dzlC0d4BDZrtwcuELKGPg,1,0,0.0
09IU310ATbrSN6IA-pR51xMs3YFNo2y1sJe1QWePI7lW_Dz_LYMABI9sKgxSByOvbnRUSaDydUHT8w,1,1,1.0
0ANS0ojNYNPlISIThozq-5y37b_38C4L5tMdPpO0nD1wkmJiiJ6iP5EegWJE2Aw4bLK827154AZEZg,1,0,0.0
