puuid,games,wins,winrate
-K_KVcV4p5wfDo3OJga_jZKHyn9FLiP-kWw0CtA9NqrtQp78gckTxD4VtHV-8w9IYjUQYlT3hqXS7Q,1,1,1.0
-LmVqzKkTzXlZCnfX5FpqJmEygpZopVB1RZRTZmkLaT7c6b7uijxuY7y4S6T_if7b7lS2LyzbYF7ug,1,0,0.0
-M4fYTj9bM0YRv9GqxDuvLjY53wMGUIlN6kNB3MKyv4B0I0APEcZUhJr2dcxutUi9vjh3dXLxLl3nA,1,1,1.0
-MMS4-HV5-kI7y0wDMBzJxU4CtnM5McOdFlOer7pxoDRE-b1fweYoLLrRBegjs8TLc1J7TL6fek_lw,3,2,0.6666666666666666
-N7tTt8qPwCOayTyi4CwdLWA_Gg5ZB0F-GGmo_Ro3eZiIApXOmk17OBnDFhiS8hdnwysyqGQ7TM4ag,1,0,0.0
-OCTKbqN2iOI6tJcvgzxTuKt-tD06HbOpufGw4H38oFFH8S96tQ_y_9omUdvs9PViF9vkYe9gZ8MAw,1,1,1.0
-OH7DmSMcB75067YPZjwcotKaQTUCdBrPuocYevfA0O8KTPsLFsurPZZP5xdrbvsm--87ulnCDHO1g,1,0,0.0
-OkOcSsf0HHkIxl4TlUHCwlgX6eu58IGpXe8QcKUJf6kCINUm0h0mPHcyX4g9nfiIzNN2LYzu1tu3A,1,1,1.0
-OuHHjW1SP-7CegTmRuiaoy1z7yOPNNRsB5rlzTAJXs9wBJkyMQfWEX6g0RuTfDOW-LDfntzfJ9jTg,1,1,1.0
-PHH8VKFns7Lr0PwZN_CLzbdCAR4xH9uShpFZZRK-Ima4n5OUlUJfYIvdG4EAAYEoVP1m3xSWsaMVg,2,1,0.5
-PJysHs2iOjoUglfKUhZJAkGoqHBf8DYvzKI2aA1iUMVngi2aWY5-HmHY9EkziazwHKy572t9Pv5mg,1,1,1.0
-PWktnRK77JWrHPvvA517sudHZiOK-9TBdof0zh-Y0y71hVpjdf3owTvSRPNkF6IFYvU_ihrRELpcQ,3,2,0.6666666666666666
-QPwVZFfotpbxvED6oiBCyY73bDjq-rH1tIVzEVARfGpRyuorvLF1lZWZQ4I1SuyZkup7SDZBFLQmg,1,0,0.0
-QWJzDbvM7gGSLekSpHxzDlNXKWM9e_54hMPs6-_DW6zv7YtFI2Umet6TPGzoL7z1YuGLXtbe8Un0Q,1,1,1.0
-Qa6vaeMFQLBEEfSbOm1zGte4e-xJJT7pZdAzjLLhaIWcq-4LAEL7ByCNLp4fpmo0igLKfH-ObF4Kg,1,1,1.0
