puuid,games,wins,winrate
-6ssxznPHQNAyzEWeUUWPbHHZczHaZbLwJ0uvemeEIup047SUTkvAEVOYkFwLwuACkwd51xH8lBUfA,2,1,0.5
-708pf4nygd01pCO5uNu4oJC8Zv_UgXdsBscF9OdORHECaxrgdrgnP5g3blfVaM0Qera8CCFErOUxw,2,0,0.0
-76-rpoZgqj6dH5WCgedG1TAoyxv-hP9Zf0zBQVM2bymrkodmCe30Hlimz5MPDhqCq3d5QLOlncTsg,4,3,0.75
-7CYp_-0e7TCVjLO8P7TolbgMlHtAod5Tc2PKgygANMCVTYpdvjK0mVpCfhV4FPoIkGfd13OQZl28A,2,1,0.5
-7J8xpznUpdXRbJIYnWOl6CrpflCPxgww_hu74Rde51aKzOv-WSSn4R2Ri9k5DPD-LcgHi4QJ3g7Hw,1,0,0.0
-7VX2nfQgVRheoZnyqyAUmY8LWb8Pm4Bsv7-xUU76157jMM7UsGf-dnkpPfSNoT8kMVu2ZTs0OLPag,3,2,0.6666666666666666
-7cPPV4YPCB_4e9jg9XdIpQnSz2WsI1C1wI8PHNdkUEavTFr3NTXioq8g1yV1xUyHVz9baYVXLR0aQ,1,0,0.0
-7eF6Wya3zHNIefa94cAM7RSJ9HeYJsGhQtPkOBWaljWbI08eeVZ-3G2pilVJt5oBuNTS59Q-dwp4Q,1,1,1.0
-7h4gVc63hi185TEHIn7dlSbw7J10Q8mKHe_DSnuiXGXEelDOgNh7YB1n-VCOgSjEbjfr7th6iiZpQ,5,4,0.8
-8Ez1371qADptO-EtQ8VgBqglvBylzCvndSuEOSeHqkCqSaVnRO3joC1elfoTOs432tfxOnEOhZbxA,1,0,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,2,0,0.0
-8P3xReYmfL8Hqt65RtlsUAh0oa3uBcVQvQ3BYVHccT1yQ-n5vWnhyISROUk-TWg-hDTEW6H_mHztA,1,0,0.0
-8TwDh5PduKdy4Qb9AARLVr__35uM8XDqUIC754k0HxUGB15373lkx75iBcD8FKgRwL-uIvTSEXD8g,1,0,0.0
-8VXeJx1i3lKMO9oLgclFxuCbmAQHQE9nIWEXanylCyo8WRf-I_GInhdZQjXmaSwABgWarraF3Xoww,1,0,0.0
-8eA8JU97t4GsI-laJxdzAeQklfUCgJ5A3jUs_CS4BoQcjhL5bHqr7-7ofq-wsnEvFwRUKFCRkh92g,1,0,0.0
-8ewROv0jrZnqaFDAAsujgHP0O0D-nz7vPVlgpsQzPZje_TnFUgtdp4aYE3K-Enrk3BDswJL7Bz9bQ,1,0,0.0
-8mc43n5bbD3_dYB0X1mj2Lvkg0VgyP0TA-tlB-l-ZM965vYXy56NL7ZizN0cLufpietaas0O9n7kQ,1,1,1.0
-8recdO_Z5EO1VLBd9urti3dE9QAJl8Ph5CDbVWmigu7vUF1BCYIpk4NBbyX-Q8B5iO4WANaYTTzeg,2,1,0.5
-952Oj1occoboyKoPrVRHWMkynHAB1M9akR7Wq-6qXc6KW2qeKHs-H7lhKaK5AB76T_CwyrS5jD7_w,1,0,0.0
-9LCTED099c9vASW_bAlk8x61AW41Yv0hA9Rl-tS_1_uO19QiSLU_vXqkWjQ1_CpsATSOvnQUb39LQ,1,0,0.0
-9VCwAuf76mfkSoGVQzp1AM9zx69BabMyG-6i2bOWUOhS9VcRVkmhEsdfALpjVuqhhAz93TzxhDPkQ,3,2,0.6666666666666666
-A-xydh6t162poWniOfxLdAoQ1-F-mt1RtxmfDlk61xOvZraMdIclB0aR2fA9AtgSf58HJxRRyv6pA,6,2,0.3333333333333333
-A0I2J1Sx6mmRGiBp2UTxfTMbj-JOfLWkTyiOsiAqZixIqFcZujdLBkgpYyJlzHG49mRvFD1leATvQ,22,11,0.5
-A3H58p3UlQEciTzWr2L_Vw9BDrwPnyGqoaw_KRC2CUfwQ0CdzUK52Jjwm9MrMXEd4USlNaYu5oHuA,1,0,0.0
-A5LRWR_leVXXnG7-MtvGF5jFUh3UxiyIQqz00QBZ90JHuhElGWmuEfgBaidrvkFZoMV-EngumaTYQ,1,0,0.0
-ABGTkxHWUdGyWAvx3cll1FAFTPZ4QjyWoTu7o9ovkL7Cl5Hal4zxWHIMbOYyDqxsLkBt3zd1A9NiA,1,1,1.0
